# New York state Covid-19 epidemic data simulation. 
# Simulation data involves 178 days in year 2020. 
# From 6th March 2020 to 31st August
# Confirmed, Hospitalized, Dead, Infected, Asymptomatic, Recovered, Infected+Asymptomatic. 

# 	 C	    H	  D	  I	   Ia	  R	  I+Ia

   364     62     25   6860  14120 485922  20980 
   352     56     11   6777  13915 486957  20692 
   365     49      9   6785  13852 487946  20637 
   349     44     14   6459  13311 488964  19770 
   363     54     11   6454  13134 489987  19588 
   379     40      8   6359  12967 490925  19326 
   320     35     13   6248  12779 491921  19027 
   392     41      7   6106  12435 492860  18541 
   326     39     14   5945  12241 493796  18186 
   353     37      4   5779  11899 494749  17678 
   325     52      9   5758  11796 495660  17554 
   333     41      9   5689  11587 496541  17276 
   327     39      4   5532  11307 497436  16839 
   340     36      9   5428  11104 498311  16532 
   302     47      5   5284  10835 499156  16119 
   307     41      5   5185  10597 500016  15782 
   315     25      6   5082  10419 500862  15501 
   303     28     11   4987  10243 501695  15230 
   270     34      6   4790   9883 502524  14673 
   302     34      9   4615   9497 503327  14112 
   302     29      5   4413   9214 504144  13627 
   274     38      6   4263   8887 504936  13150 
   250     37      4   4144   8592 505693  12736 
   275     36      2   3995   8293 506451  12288 
   247     29      4   3858   8068 507196  11926 
   250     34      3   3769   7839 507883  11608 
   257     33      6   3669   7599 508562  11268 
   233     31     10   3453   7260 509251  10713 
   198     28      5   3271   6920 509896  10191 
   232     25      3   3095   6580 510529   9675 
