# New York state Covid-19 epidemic data simulation. 
# Simulation data involves 178 days in year 2020. 
# From 6th March 2020 to 31st August
# Confirmed, Hospitalized, Dead, Infected, Asymptomatic, Recovered, Infected+Asymptomatic. 

# 	 C	    H	  D	  I	   Ia	  R	  I+Ia

   314     43     13   4762   9635 501028  14397 
   274     38      4   4650   9402 501823  14052 
   251     39      8   4590   9241 502607  13831 
   243     32      8   4356   8795 503338  13151 
   252     33      6   4302   8657 504080  12959 
   267     33      8   4230   8444 504816  12674 
   242     23      5   4123   8224 505512  12347 
   232     29      9   3990   7958 506258  11948 
   234     24     11   3901   7700 506950  11601 
   256     27      7   3742   7398 507576  11140 
   243     27      4   3706   7305 508211  11011 
   250     24      2   3594   7126 508867  10720 
   222     24      5   3447   6857 509449  10304 
   218     13      5   3368   6714 510036  10082 
   210     21      4   3266   6538 510598   9804 
   170     29      9   3159   6374 511221   9533 
   218     21      4   3121   6190 511750   9311 
   193     14      3   3032   6031 512301   9063 
   178     22      4   2901   5800 512803   8701 
   191     23      9   2777   5590 513294   8367 
   190     30      5   2665   5399 513792   8064 
   158     24      7   2548   5241 514257   7789 
   175     22      5   2477   5090 514722   7567 
   169     15      5   2363   4884 515209   7247 
   157     18      6   2272   4727 515659   6999 
   164     17      3   2205   4598 516083   6803 
   148     19      2   2118   4442 516488   6560 
   133     20      5   2007   4254 516916   6261 
   127     18      3   1909   4043 517308   5952 
   138     18      1   1795   3823 517670   5618 
