# New York state Covid-19 epidemic data simulation. 
# Simulation data involves 178 days in year 2020. 
# From 6th March 2020 to 31st August
# Confirmed, Hospitalized, Dead, Infected, Asymptomatic, Recovered, Infected+Asymptomatic. 

# 	 C	    H	  D	  I	   Ia	  R	  I+Ia

   386     57     26   6820  12416 422532  19236 
   371     42     11   6732  12209 423490  18941 
   409     52     13   6761  12097 424456  18858 
   400     41     13   6383  11616 425375  17999 
   395     37      6   6318  11512 426262  17830 
   395     40     10   6233  11317 427178  17550 
   379     50     10   6105  11130 428041  17235 
   346     40      3   5924  10896 428838  16820 
   346     39      3   5810  10696 429682  16506 
   331     47      8   5605  10392 430504  15997 
   342     47      6   5657  10346 431338  16003 
   381     40      9   5616  10175 432135  15791 
   300     51     16   5423   9944 432922  15367 
   360     40      8   5380   9784 433707  15164 
   307     40      7   5237   9604 434462  14841 
   319     32      5   5193   9431 435221  14624 
   305     32      7   5133   9305 436020  14438 
   300     41      6   5076   9142 436700  14218 
   315     30      8   4917   8888 437400  13805 
   289     38      5   4731   8621 438086  13352 
   312     43      6   4601   8394 438780  12995 
   275     25      3   4441   8194 439471  12635 
   272     28      9   4358   8017 440149  12375 
   259     39      7   4206   7762 440841  11968 
   263     28      4   4118   7606 441461  11724 
   236     19      6   4078   7491 442093  11569 
   283     21      8   4019   7325 442726  11344 
   255     34      6   3793   7042 443330  10835 
   251     28      4   3594   6757 443907  10351 
   218     22      6   3373   6482 444455   9855 
